----------------page: 1-------------------
title:本科部“学习雷锋精神 争做时代先锋” 主题教育活动持续进行中 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=517455&catid=396&Itemid=310 date:2023-03-17
title:国科大四位研究生导师获颁2021-2022年度中国物理学会奖项 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=516074&catid=378&Itemid=218 date:2022-11-22
title:81岁院士，讲了一门“比春运火车票还难抢”的课 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=514238&catid=399&Itemid=365 date:2022-09-29
title:公管学院陈凯华教授合作完成关于国立科研机构技术转移的研究 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=510007&catid=376&Itemid=196 date:2022-03-10
title:动物研究所合作团队研究发现气候季节变化模式影响草原布氏田鼠种群的大暴发 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=507309&catid=376&Itemid=196 date:2021-10-20
title:精密测量院在沸石分子筛催化丙烷芳构化反应机制研究中取得重要进展 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=507221&catid=376&Itemid=196 date:2021-10-15
title:国科大研究生导师周溪团队揭示靶向病毒RNAi抑制子的抗病毒药物研发新策略 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506787&catid=376&Itemid=196 date:2021-09-28
title:国科大研究生导师徐华强和蒋轶团队合作揭秘糖蛋白激素作用机制 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506669&catid=376&Itemid=196 date:2021-09-23
title:国科大研究生导师夏菡、袁志明团队在库蠓携带病毒的发现与特征研究方面取得进展 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506629&catid=376&Itemid=196 date:2021-09-22
title:国科大博士生导师贾宏鹏团队在催化剂表面酸性位点协同调控氯苯降解过程方面取得研究进展 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506603&catid=376&Itemid=196 date:2021-09-18
title:国科大研究生导师韩丹翔和胡强团队在小球藻异养高密度培养技术上取得重要进展 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506600&catid=376&Itemid=196 date:2021-09-17
title:国科大博士生导师何舜平团队在鱼类适应青藏高原极端环境的研究中取得重要进展 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506599&catid=376&Itemid=196 date:2021-09-17
title:国科大研究生导师李熙银团队在雌核生殖银鲫雄性特异微小染色体研究方面取得进展 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506598&catid=376&Itemid=196 date:2021-09-17
title:亚热带所在不同水文时期洞庭湖水质变化动态及驱动机理研究取得进展 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506574&catid=376&Itemid=196 date:2021-09-17
title:亚热带所在MiRNA靶向调控微生物促进肠道健康方面的研究取得新进展 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506573&catid=376&Itemid=196 date:2021-09-17
title:国科大博士生导师鲍时来团队揭示肺肌成纤维细胞增殖和分化的表观遗传机制 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506555&catid=376&Itemid=196 date:2021-09-16
title:国科大博士生导师任引团队在水安全精细化评估与可持续水管理方面取得研究进展 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506549&catid=376&Itemid=196 date:2021-09-16
title:国科大博士生导师金万洙团队发现饮食诱导产热的关键蛋白并揭示其作用机制 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506522&catid=376&Itemid=196 date:2021-09-14
title:中国科学院大学研究生导师毕宏涛团队在中国被毛孢多糖免疫调节活性研究中取得新进展 link:http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=506463&catid=376&Itemid=196 date:2021-09-14
